,word,freq,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
604,p,9,%_##gt,%_##lt_;/,BEL_Kawasaki,d,bunt_SAC,OGJ_Mar.,SN_#/#/##,Joel_Roelants_BEL_KTM,2b_SAC,
605,quick,54,swift,speedy,fast,easy,Quick,quicker,rapid,quickly,hasty,
606,prefer,28,prefers,want,preferring,prefered,inclined,Prefer,opt,preferred,tend,
607,awesome,144,amazing,unbelievable,fantastic,incredible,unbelieveable,terrific,wonderful,great,fabulous,
608,maybe,91,probably,Maybe,yeah,suppose,hey,guess,think,Chiddy_Bang_maybe,just,
609,twilight,79,twilights,sunset,twighlight,dusk,gloaming,lengthening_shadows,twilight_zone,moonlight,darkness,
610,name,9,names,surname,moniker,Trajche_Shoposki,monikers,nickname,forename,pseudonym,monicker,
611,living,24,lived,residing,live,lives,Living,squalid_overcrowded,reside,sleeping,squalor,
612,note,9,notes,Sounding_conciliatory,Tradition_Analytics,Nick_Bertolotti,analyst_George_Staphos,Steven_Alexopoulos,analyst_Yaron_Werber,Dearest_Lila,analyst_Chiara_Cremonesi,
613,notice,9,notices,Notice,notification,Notices,eviction_notice,Sonus_sole_discretion,eviction_notices,notifying,notify,
614,power,15,Power,electricity,Conscientiously_wield,electicity,power.The,ChemGenex_harnesses,Inguri_hydroelectric,energy,electricy,
615,island,11,islands,archipelago,isle,Caribbean_island,official_Seiichiro_Fukumitsu,islanders,peninsula,isles,atoll,
616,determine,23,determining,ascertain,assess,determines,evaluate,Determining,decide,todetermine,determing,
617,spatial,9,spatiotemporal,spacial,spatially,spatio_temporal,topological,GIS_cartography,spatial_temporal,temporal_scales,Spatial,
618,remote,9,Caladesi_somewhat,Remote,Hindu_deity_Ayyappan,islands_pelicans_gulls,medieval_backwater,mountain_wildernesses,dusty_Outback,ON_DEMAND_button,plants_BlueFire_biorefineries,
619,follow,30,Follow,followed,follows,adhere,abide,Twitter_@_getjar,following,information_www.getjar.com,twitter.com_authentecnews,
620,present,13,presented,presenting,presents,Present,Presenting,presentation,discuss,CABAZON_CULTURAL_MUSEUM,Fahim_Dashti_Tajik,
621,design,14,designs,designing,Design,architectural,designers,Engenio_logo,architecture,Manufacturability_DFM,redesign,
622,brightest,39,brightest_stars,brighest,bright,brightest_minds,shining,ablest,smartest,Kuiper_belt_disc,spotlight_shines,
623,stitch,33,stitching,stitched,sew,sewed,zigzag_stitch,knit,sewn,garter_stitch,stiched,
624,return,34,returning,returns,returned,rejoin,Return,leave,depart,Returning,reclaim,
625,http,9,htm,jsp,www.example.com,cgi_bin,sftp,ssh,domain.com,https://,cURL,
626,beyond,39,beyong,above,within,through,into,extend,encompass,extends,Beyond,
627,photographing,288,photographed,photographs,photographer,photography,videoing,Photographing,pictures,photograph,photographic,
628,lit,22,lighted,illuminated,glowed,lighting,relit,lights,flickered,unshaded_bulbs,aglow,
629,salt,9,Salt,pepper_brocade_peacoat,Maldon_salt,brine,salts,Sodium_chloride,garlic_salt,liquid_calcium_chloride,kosher_salt,
630,blend,22,blends,blending,blended,mix,mixture,Blending,meld,mixes,infused,
631,x,9,,x_###.#mm,__##v,Gelo_Orange_Naples,x_##mm_WDH,x_##.#cm,x_##in,x_##.##mm,##.#mm_x_##mm,
632,isos,177,postups,dribble_dribble,PnR,iso,jumpshooting,postup,dunks_layups,DWill,dribble_handoffs,
633,grip,36,stranglehold,iron_grip,tenuous_grip,grips,vise_grip,control,toehold,viselike_grip,gripping,
634,source,10,sources,souce,unnamed_sources,sourse,sourced,Sources,Daybad,contributor,Marten_Mickos_CEO,
635,per,10,average,#.##per,#.##,##/per,NASS_butter,##per,###per,cents,#.##/per,
636,forward,12,foward,froward,Dominic_Rhodes_plow,Timminco_cautions,ahead,Forward,Interfor_undertakes,ProUroCare_undertakes,forwardto,
637,waiting,27,waited,waiting_patiently,patiently_waiting,wait,anxiously_waiting,waits,waiting_anxiously,awaiting,Waiting,
638,commercial,10,commerical,Commercial,Thayne_Culbertson_disabled,Scaffold_Towers_DIY,commericial,residential,terrain_forklifts,Astoria_federally_insured,Heatsavr_liquid_blanket,
639,technical,9,techincal,techical,Technical,BOB_coordinates,techinical,tech_nical,director_Christian_Loriaux,director_Giorgio_Ascanelli,Ugur_Akinci_PhD,
640,lock,12,locking,locks,locked,Lock,Locking,maker_Assa_Abloy,padlock,Blowout_preventers_sit,jemmy,
641,optimal,33,optimum,optimally,optimized,optimize,ideal,optimizes,optimizing,dynamically_adjusts,maximal,
642,static,9,fighter_Abdel_Salam,ESD_electro,linear,Chromatic_aberration,stationary,RAM_SRAM,bidirectionally,anti_aliased,vectorized,
643,telephoto,9,focal_lengths,angle_lens,##x_optical_zoom,telephoto_zoom,zoom_lens,focal_length,ISO_sensitivity,##x_zoom_lens,aperture_settings,
644,perfectly,19,Perfectly,nicely,beautifully,impeccably,wonderfully,excellently,superbly,neatly,marvelously,
645,boring,18,dull,uninteresting,monotonous,bored,bland,tedious,unexciting,tiresome,mind_numbingly_boring,
646,unless,31,Unless,if,otherwise,until,either,If,anytime,Dolly_strengthens,Otherwise,
647,selection,43,selections,selecting,selected,Selection,select,MegaPath_leverages,choice,Selecting,chosen,
648,bring,133,bringing,brought,Bringing,come,brings,add,get,put,create,
649,job,84,jobs,Job,BrokeAss_Blog_Need,work,daunting_Platoni,employment,monster.com,thankless_job,rsum,
650,etc,10,etc.,etc_etc,ect,eg,etc_etc.,etcetera,et_cetera,etc_etc_etc,ie.,
651,helpful,31,useful,beneficial,invaluable,handy,Helpful,informative,valuable,enlightening,unhelpful,
652,edit,24,WNYC_reserves,editing,DW_WORLD.DE_reserves,delete,edits,upload,edited,www.MyTownCrier.ca_editors_reserve,annotate,
653,lead,23,advantage,trailed,cushion,led,midway_through,thelead,leads,commanding,lead.The,
654,conclusion,9,conclusions,conclude,concluding,concluded,inescapable_conclusion,denouement,logical_conclusion,climax,concludes,
655,chance,36,opportunity,chances,opporunity,oppurtunity,hope,opportunty,achance,oportunity,oppportunity,
656,limited,15,restricted,limiting,minimal,diminished,severely_restricted,limted,constrained,virtually_non_existent,limitations,
657,street,8,streets,sidewalk,boulevard,alley,sidewalks,neighborhood,Streets,alleyway,Street,
658,highly,26,Highly,hugely,extremely,supremely,higly,most,incredibly,HIGHLY,extraordinarily,
659,calm,10,Calm,calmed,calmness,calming,calmer,quiet,calms,even_keeled,levelheaded,
660,type,42,kind,types,sort,particular,characteristics,vindictiveness_Osborne,Type,typical,Argus_Observer_furnishes,
661,phone,8,telephone,cell_phone,cellphone,Phone,phones,landline,voicemail,caller_id,RingCentral_cloud_computing,
662,provide,71,providing,provides,provided,toprovide,Providing,give,deliver,offer,Provide,
663,beach,10,beaches,beachfront,beachside,sandy_beach,seashore,Beach,Vasden_displayed_kenaf_booms,beachgoers,shoreline,
664,affected,18,impacted,adversely_affected,affecting,severely_impacted,affect,effected,negatively_affected,unaffected,affects,
665,tree,8,trees,pine_tree,oak_tree,evergreen_tree,fir_tree,willow_tree,pine_trees,maple_tree,sycamore_tree,
666,bridge,8,bridges,Bridge,pedestrian_bridge,overpass,footbridge,viaduct,truss_bridge,causeway,steel_girder_bridge,
667,definitely,215,certainly,obviously,really,Definitely,probably,think,always,yeah,hopefully,
668,enjoyed,21,enjoying,enjoy,enjoys,thoroughly_enjoyed,Enjoying,relished,Enjoyed,benefited,benefitted,
669,finally,12,FINALLY,belatedly,eventually,again,fi_nally,once,then,before,when,
670,employ,13,employing,employs,employed,hire,Employing,utilize,operate,KPCB_portfolio,Employ,
671,billboard,8,billboards,Billboards,roadside_billboards,advertisement,signboard,supergraphic,signage,Evolve_Beyond_Belief,advertisements,
672,automatically,23,Automatically,optionally,automagically,automatic,automatically_detects,instantly,dynamically,manually,automatically_notifies,
673,rely,9,rely_heavily,relying,relied,relies,reliant,depend,Relying,relied_heavily,relies_heavily,
674,maximum,10,minimum,maximum_allowable,Maximum,maxi_mum,maxium,mininum,maxiumum,Neat_eh,minium,
675,looked,153,seemed,looks,Looked,look,felt,thought,stared,saw,appeared,
676,choice,73,choices,choose,choosing,Choosing,chose,chosen,selection,option,preference,
677,appears,31,seems,appeared,suggests,seemed,is,indicates,looks,proves,appear,
678,texture,8,textures,textural,textured,chewy_texture,velvety_texture,coarse_texture,grainy_texture,fluffy_texture,creaminess,
679,canvas,15,canvases,masonite,acrylic_paint,unstretched_canvas,collage,painting,gessoed,thick_impasto,watercolor,
680,released,37,relased,releasing,release,Released,releaed,published,Releasing,realeased,issued,
681,potential,45,Potential,prospective,potentially,possibilities,possibility,possible,prospects,opportunities,potentials,
682,noisier,9,quieter,louder,noisy,livelier,nosier,noticeably_quieter,dirtier,punchier,Quieter,
683,relative,8,Relative,Tricia_Dyal_asked,historically_weathers_recessions,Andre_Nienaber,windows_Vorak,Vincent_Haydel,cyanuric_acid_chemical,Telcel_engages,Alaa_Talabani,
684,reading,51,read,writing,reading_aloud,reread,Schlichenmeyer,rereading,readings,Kindle_Karimian,reads,
685,technology,8,technologies,innovations,technological_innovations,technol,technological_advancement,cutting_edge,technological_innovation,technological_advancements,innovation,
686,harsh,8,harsher,harshest,Harsh,harshness,brutal,unusually_harsh,cruel,unduly_harsh,unforgiving,
687,interested,9,intersted,keenly_interested,Interested,inter_ested,averse,involved,intrigued,leaning_toward,actively_engaged,
688,spectacular,26,breathtaking,stunning,dazzling,magnificent,jaw_dropping,scintillating,splendid,sensational,awe_inspiring,
689,grass,8,grasses,Bermuda_grass,bermuda_grass,rye_grass,lawns,fescue,Zoysia_grass,kikuyu,kikuyu_grass,
690,certain,37,these,all,Certain,specific,some,various,specified,particular,those,
691,deep,10,deeper,deepest,depths,shallow,gravelly_voice_fills,Deep,depth,deepening,Deeper,
692,via,8,kmincer@gjds.com,agemaehlich@gjds.com,Kent_Mincer,website_www.edrsilver.com,through,mwittig@journalsentinel.com,Danie_Harrelson,www.dtag.com,e_mail_chinakangtai@gmail.com,
693,distortion,13,distortions,distorted,distorting,Distortion,distort,distorts,manipulation,comb_filtering,tape_hiss,
694,everyone,24,everybody,Everyone,Everybody,nobody,anyone,everything,anybody,everbody,eveyone,
695,research,9,reseach,Research,reserach,reasearch,researches,study,resarch,studies,scientific,
696,dune,8,dunes,sand_dune,sand_dunes,marram_grass,rock_revetment,dune_grass,dune_vegetation,groyne,renourished_beach,
697,w,8,Vict,......,lg,pkg,dbl,w/##,incl,om_en,cov,
698,significant,27,substantial,signficant,considerable,signifcant,sizable,huge,tremendous,sizeable,Significant,
699,cover,18,covered,covers,covering,Cover,Covering,drugs_Advair_Symbicort,defray,Covers,coverage,
700,please,8,Please,DMSP_Information,www.nasdaq.com_GlobalSelect,beaufortgazette.com,see_http://www.fujitsu.com/,www.mitx.org,Brownstone_website_www.brownstoneventures.com,see_www.merial.com,PLEASE,
701,knowing,106,Knowing,know,knew,believing,realizing,having,feel,feeling,imagine,
702,guide,8,guides,guidebook,Guide,pharmacogenetic_diagnostic_tests,author_Kenn_Kaufman,guidebooks,Guidebook,PIPELINE_NEWSLETTER_Get,Guides,
703,obviously,150,certainly,definitely,really,Obviously,quite_frankly,think,frankly,very,probably,
704,edge,26,advantage,edges,egde,Nebulastocks.com_strives,SYCODE_develops_cutting,lead,Through_econveyance_TM,advanatge,upperhand,
705,growing,26,grown,burgeoning,grow,rapidly_expanding,increasing,grows,Growing,expanding,rising,
706,word,8,phrase,words,verb,Word,adjective,cuss_word,colloquialism,noun,astrology_#/##/##,
707,structure,8,structures,unlawfully_discharging_gun,organizational_structure,structurally,stucture,double_helix_molecular,structural,Structure,edifice,
708,gf,8,gd,gs,hvy,sft,hcp_#-##,6_fbs,fbs,mdn_stks_5,3yo_hcp_#-##,
709,sent,11,sending,send,sends,forwarded,mailed,despatched,Sending,dispatched,e_mailed,
710,crop,8,Crop,crops,bumper_crop,soybean_crop,wheat_crop,corn_crop,cereal_crops,maize_crop,sugarcane_crop,
711,app,9,iPhone_app,apps,iOS_app,App,iPad_app,iPhone_App_Store,App_Store,iPhone_App,iPhone,
712,chosen,44,selected,chose,choosing,choosen,selects,choose,chooses,selecting,shortlisted,
713,edinburgh,9,uk,brighton,birmingham,dublin,devon,glasgow,rebecca,julia,arthur,
714,reference,11,references,allusion,referencing,referenced,McGwire_evasions,MGRS_Military_grid,passcode_TMRK_Call,quote,passcode_EQIX,
715,atmosphere,8,atmospheres,ambience,ambiance,atmostphere,atmopshere,atmoshpere,vibe,festive_atmosphere,relaxed_atmosphere,
716,closer,68,nearer,farther,close,bigger,deeper,Closer,greater,sharper,tantalizingly_close,
717,walk,17,walking,walks,walked,stroll,Walking,Walk,wander,jog,saunter,
718,fuji,8,Obesere,Sikiru_Ayinde_Barrister,Saheed_Osupa,Adewale_Ayuba,King_Ayisoba,Abrantie_Amakye_Dede,fuji_music,Ayinde_Barrister,Nana_Kwame_Ampadu,
719,press,8,media,reporters,hastily_convened_press,breifing,news,briefing,conference,journalists,presser,
720,soft,12,softer,softest,Soft,squishy,weak,alloy_extrusions,muskrat_burrowed_hole,softness,alternative_Cialis_Cialis,
721,overlap,9,overlaps,overlapping,overlapped,duplication,synergy,similarity,duplications,disjoint,similarities,
722,previously,46,Previously,originally,recently,initially,subsequently,been,also,already,had,
723,national,14,regional,international,natonal,nation,Maiolo_Swiss_Italian,nationwide,country,local,na_tional,
724,naturally,44,invariably,instinctively,inevitably,natural,Naturally,Physiologically,unnaturally,generally,normally,
725,display,10,displays,displayed,displaying,Displays,Display,Displayed,diplay,exhibit,exhibited,
726,compared,12,Compared,compares,comparable,compares_favorably,comparedwith,comparedto,comparing_favorably,decreased,versus,
727,incredibly,20,unbelievably,extremely,extraordinarily,very,amazingly,exceedingly,insanely,awfully,exceptionally,
728,four,98,three,five,seven,six,eight,two,nine,eleven,ten,
729,increasing,57,decreasing,increased,Increasing,diminishing,increase,reducing,growing,lessening,rising,
730,changed,48,altered,changing,change,alter,drastically_altered,radically_altered,shifted,alters,altering,
731,fantastic,143,terrific,wonderful,great,amazing,marvelous,fabulous,awesome,phenomenal,incredible,
732,secure,12,securing,secured,secures,Securing,Secure,safeguard,obtain,maintain,safe,
733,patience,11,Patience,perseverance,fortitude,expensive_Tombeau,persevere,humility,prudence,diligence,tenacity,
734,sarah,7,jackie,helen,rebecca,michelle,cindy,michele,nigel,danielle,julia,
735,hold,123,holding,held,holds,Hold,take,put,hang,cling,convene,
736,feature,10,features,featured,featuring,showcases,Cine_Explore,com_Analyst_Blog,FirstLook_pre,featues,featuers,
737,green,21,wearin_o,greener,workers_differently_Corenthal,QEII_TJ_Marta,red,Leyritz_Ford_Expedition,greening,Pentwater_Civic,Kimmie_Mi_Hyun_Kim,
738,london,12,birmingham,nyc,england,manchester,brooklyn,europe,essex,barcelona,alex,
739,combination,28,combining,combine,combined,mix,coupled,combo,blend,combinations,Combining,
740,went,38,came,ran,gone,drove,walked,took,flew,stayed,go,
741,dawn,48,sunrise,daybreak,Bajor_tribal_region,Snowzilla_reappeared,scattered_showers_drenched,Almirante_Monteiro_capsized,nightfall,til_dusk,midnight,
742,creates,61,create,creating,engenders,eliminates,fosters,removes,amplifies,establishes,generates,
743,albert,8,francis,armstrong,samuel,willie,gordon,derek,dunn,andrew,gilbert,
744,hike,11,hikes,hiked,hiking,Hike,rate_hikes,increases,rises,##bps_hike,partial_rollback,
745,person,86,someone,persons,woman,somebody,peson,man,people,anyone,guy,
746,came,92,went,brought,come,drew,got,took,sprang,gave,ran,
747,approach,12,approaches,stance,holistic_approach,strategy,philosophy,ap_proach,attitude,mindset,pragmatic,
748,ocean,13,sea,oceans,Pacific_Ocean,Atlantic_Ocean,oceanic,wooden_crate_dumped,coral_reef,ocean_basins,coastal_waters,
749,laptop,20,laptops,laptop_computer,notebook,netbook,computer,laptop_computers,notebook_PC,MacBook,PowerBook,
750,slightly,16,marginally,somewhat,considerably,slighly,tad,noticeably,slighty,markedly,Slightly,
751,coastal,12,costal,coastline,coast,inland,coastlines,seaside,coastland,beachfront,tourists_flock_Frejus,
752,reducing,35,reduce,decreasing,minimizing,Reducing,lowering,lessening,reduces,eliminating,thereby_reducing,
753,width,43,widths,thickness,diameter,thicknesses,perpendicular,length,spacing,diametre,curvature,
754,lowest,54,highest,weakest,higest,Lowest,steepest_decline,fr_cheapest_cialis,fewest,low,fr_cheapest_viagra,
755,abstract,7,abstraction,abstractions,abstracted,impressionistic,nonrepresentational,abstract_painting,abstract_geometric,geometric_abstraction,abstract_shapes,
756,cloudy,17,variably_cloudy,foggy,cloudier,hazy,overcast,sunny,partly_cloudy,patchy_drizzle,mostly_cloudy,
757,appear,31,reappear,appeared,appearing,seem,appears,apear,appearance,indicate,reveal,
758,market,7,markets,marketplace,themarket,maket,mkt,industry,mar_ket,Market,makets,
759,hope,46,hoping,hopeful,sincerely_hope,hopefully,hopes,Hopefully,hoped,believe,wish,
760,whenever,13,wherever,Whenever,everytime,anytime,whatever,frequently,invariably,if,Wherever,
761,hot,11,Hot,hottest,hotter,CHEFS_Chefs,sizzling,scorching,teardrop_shaped_VTA,cool,briquette_iron,
762,impossible,42,virtually_impossible,difficult,nigh_impossible,inconceivable,unfeasible,undoable,humanly_impossible,easy,impossibility,
763,professional,8,profes_sional,Professional,amateur,professionally,professionals,pro_fessional,Lena_Manousarides,BankAnnapolis_serves,profession,
764,walking,17,walk,Walking,walked,jogging,strolling,walks,wandering,walking_briskly,riding_bicycle,
765,considering,48,contemplating,mulling,consider,reconsidering,leaning_toward,pondering,contemplate,toying,exploring,
766,megapixels,17,megapixel,mega_pixels,megapixel_resolution,Megapixels,megapixel_sensor,mega_pixel,Megapixel,megapixel_CCD,5MP,
767,focussed,93,focused,focussing,focus,concentrating,focusing,concentrate,Focussing,concentrated,focusses,
768,pay,9,paying,paid,pays,topay,reimburse,Paying,payed,payment,repay,
769,visually,24,Visually,aesthetically,visual,visuals,graphically,aurally,visually_stimulating,artistically,visually_appealing,
770,af,7,ter,tter,......,lik,er,,ckers,kn,hy,
771,act,8,acts,acted,acting,behave,act_decisively,Acts,Still_Geberth,punish_wrongdoers,Sanctioning_bodies,
772,feeling,54,feel,felt,feels,Feeling,feeing,feelings,Well_how're,Clarisse_Que,mood,
773,rising,18,soaring,surging,rise,skyrocketing,escalating,risen,rises,Rising,increasing,
774,valley,7,valleys,foothills,hills,canyon,mountains,Pir_Panjal_range,Valley,Pakistan_restive_Swat,restive_northwestern_Swat,
775,pull,31,pulling,pulled,yank,pulls,Pulling,put,push,rip,hang,
776,detailed,48,Detailed,detailing,detailed_description,futuristic_frocks,detail,thorough,details,summary,comprehensive,
777,fan,7,fans,diehard_fan,superfan,fanbase,Fan,fandom,ticket_holder,rabid_fan,fanatic,
778,dial,7,dialing,dials,###-###-####_passcode_Seitel,Phyillis_threw,dial_###-###-####,dial_###.###.####,dial_#.###.###.####,HughesNet_Satellite_Internet,Dial,
779,darkness,55,dark,fog,blackness,inky_blackness,shineth,darkness_descends,shadows,starlit_sky,Mien_Mien_stared_emptily,
780,known,9,Known,regarded,popularly_known,commonly_referred,dubbed,affectionately_known,recognized,widely_regarded,nicknamed,
781,pushed,18,pushing,push,nudged,shoved,bumped,pushes,dragged,pulled,moved,
782,panoramic,66,panorama,panoramas,panoramic_view,panoramic_views,bird's_eye,panoramic_vistas,breathtaking_panoramic,panoramic_vista,breathtaking_views,
783,plane,7,airplane,jet,planes,aircraft,jetliner,airliner,Cessna,Plane,propeller_plane,
784,coming,167,come,going,Coming,heading,came,getting,go,comin,next,
785,largest,22,biggest,fastest_growing,secondlargest,Largest,thelargest,larget,smallest,most_populous,oldest,
786,heavy,18,Heavy,heavier,heaviest,hefty,HEAVY,massive,Heavier,intense,heavily,
787,weight,7,weights,Weight,bodyweight,##lbs,Rayna_Middlebrooks,wieght,dieting,poundage,bodyfat,
788,todd,8,tommy,ross,adams,thompson,gordon,corey,steve,richards,harvey,
789,team,7,squad,teams,Team,teammates,league,sqaud,coach,players,coach_Rob_Klatte,
790,linking,14,linked,link,links,connecting,Linking,linkage,connects,interlinking,connect,
791,introduction,19,introducing,introduced,reintroduction,advent,introduce,Introducing,launch,emergence,rollout,
792,storm,7,storms,hurricane,Hurricane_Ike,Hurricane_Ivan,nor'easter,Hurricane_Dennis,Hurricane_Frances,snowstorm,tornado,
793,park,7,parks,Park,superintendent_Dave_Uberuaga,skate_park,parkland,Kohler_Andrae,campground,Taraji_Henson_knocked,Castaway_Cove,
794,kind,141,sort,really,type,itchy_Sakleh,something,basically,shocked_Leskoven,definitely,Ben_Hur_proportions,
795,towards,13,toward,northwards,opposite_direction,southwards,downwards,westwards,Melrose_Jewelers_caters,nearer,eastwards,
796,reach,33,reaching,reached,reaches,Reaching,attain,achieve,surpass,toreach,exceed,
797,blended,20,blend,blends,blending,mixture,melded,mixes,infused,Blending,Blended,
798,periodically,16,regularly,Periodically,periodic,frequently,occasionally,routinely,continuously,continually,constantly,
799,factor,35,contributing_factor,determinant,motivating_factor,contributory_factor,factors,determiner,element,component,complicating_factor,
800,empty,13,emptied,Empty,emptier,unoccupied,unused,filled,overflowing,sodden_tomb,vacant,
801,user,7,users,User,Sydney_measured_####kbps,Brisbane_measured_####kbps,Melbourne_measured_####kbps,customer,GetSatisfaction,oAuth,enduser,
802,primarily,9,principally,mainly,chiefly,mostly,Primarily,predominately,partially_offset,largely,primarily_attributable,
803,traveling,66,traveled,travel,Traveling,Travelling,travels,journeying,trip,hitch_hiking,trips,
804,earth,9,Earth,planet,meek_inheriting,earths,cosmos,mankind,mega_vertebrate,shepherded_Tolkien_Middle,ERDAS_creates,
805,bird,8,birds,raptor,owl,squirrel,falcon,raptors,bald_eagle,robin,pelican,
806,amazon,89,itunes,play.com,cli,adobe_acrobat,amiga,canada,Amazon,sony,dvd,
807,whilst,15,Whilst,while,Firstly,firstly,aswell,thus,thereby,consequently,whist,
808,flash,8,flashes,flashing,Flash,mesh_bodysuits,bang_wallop,tossed_nondestructive_grenade,Padlock_Pro,flashguns,flicker,
809,inspiration,14,inspirations,inspired,inspiring,encouragement,inspirational,muse,Inspiration,inspire,impetus,
810,electronics,7,consumer_electronics,maker_Aeroflex_Holding,VaST_drives,Elisra_Defense,semiconductors,Electronics,Corporation_Nasdaq_SMTX,electonics,BEST_BUY_Odd,
811,diagonal,9,diagonally,angled,diagonals,curved,looping,stepover,curving,crossfield_pass,cushioned_header,
812,powerful,80,Powerful,potent,influential,poweful,formidable,fearsome,powerfully,powerfull,dynamic,
813,slider,7,changeup,curveball,sliders,fastball,seam_fastball,changeup_curveball,fastball_changeup,fastball_slider,mph_fastball,
814,painting,8,paintings,watercolor,Painting,painter,painters,watercolor_painting,watercolors,acrylic_painting,tile_carpentry_sheetrock,
815,familiar,7,familar,unfamiliar,Familiar,intimately_familiar,eerily_familiar,requested_anonymity,familiarity,recognizable,conversant,
816,grab,10,grabbing,snatch,grabbed,Grabbing,steal,Grab,grabs,wrest,snare,
817,darren,14,kevin,o'brien,liam,gordon,gareth,quinn,richards,sarah,nigel,
818,site,86,sites,Site,www.panasonic.com/3D,website,site.The,web,www.mphventurescorp.com,location,www.meau.com,
819,dusk,109,sundown,sunrise,dusk_til,sunset,til_dusk,pleasantest_hour,dawn,daylight_fades,nightfall,
820,underexposed,15,contrasty,overexposed,underexpose,graininess,widest_aperture,underexposed_images,oversaturated_colors,purple_fringing,vignetting,
821,introduced,19,Introduced,introduce,reintroduced,introducing,unveiled,introduction,intro_duced,Introducing,instituted,
822,curve,7,curves,Inverted_yield,upward_sloping_yield,Roberta_Sklar_spokeswoman,hairpin_curve,leftmost_lane,overcorrecting,rotated_counterclockwise,sliding_sideways,
823,eos,7,il_nuovo,ecco,biedt,carta,een_nieuw,samen,_possibile,completo,har_en,
824,sleep,8,sleeping,restful_sleep,restorative_sleep,slept,nap,wakings,naps,fitful_sleep,Sleep,
825,solid,124,strong,stellar,decent,good,unspectacular,robust,terrific,excellent,solidly,
826,surrounding,6,surrounds,surrouding,surround,Surrounding,sur_rounding,surronding,shrouded,enveloped,surounding,
827,total,11,whopping,cumulative,toal,totaled,of###,approximately,totals,roughly,#,###
828,aware,14,cognizant,unaware,acutely_aware,mindful,keenly_aware,concerned,understood,understand,informed,
829,export,7,exports,exporting,Export,imports,import,exported,exporters,exportation,imported,
830,warm,21,Warm,chilly,warmth,warmed,warmer,toasty,toasty_warm,warms,cold,
831,scout,30,scouting,scouts,scouted,Why_Robonaut_descendants,Chuck_Cottier,scouter,Dick_Groch,chuckling_courtside,Scout,
832,enter,41,entering,entered,reenter,enters,entry,Entering,participate,leave,join,
833,backpack,9,knapsack,duffel_bag,backpacks,duffle_bag,fanny_pack,rucksack,bookbag,daypack,backback,
834,writing,26,write,Writing,written,penning,composing,reading,Akkadian_wedge_script,writting,scribbling,
835,standard,7,standards,specification,stan_dards,IEEE###,Standards,guideline,protocols,norm,specifications,
836,viewing,8,Viewing,viewings,viewable,CIM_classifications_pursuant,Ford_everyman_persona,watching,browsing,Flatbed_trucks_rolled,Chamberlin_Observatory,
837,seem,63,seems,seemed,appear,necessarily,seemingly,certainly,quite,they're,not,
838,seek,76,seeking,sought,seeks,pursue,Seek,Seeking,provide,aggressively_pursue,try,
839,explain,17,understand,explaining,clarify,elucidate,comprehend,fathom,describe,explanation,decipher,
840,sensitivity,7,sensitivities,Sensitivity,sensitiveness,ALCAT_Test,sensitive,specificity,responsivity,acuteness,SiMoA,
841,optimum,37,optimal,optimally,optimize,dynamically_adjusts,optimized,ideal,optimizes,optimizing,desired,
842,suggested,18,indicated,hinted,suggest,suggesting,speculated,suggests,surmised,noted,argued,
843,negative,7,positive,Negative,postive,negatively,Inaccurate_portrayals,unfavorable,Positive,positve,negativity,
844,planned,36,plans,scheduled,planed,slated,planning,tentatively_scheduled,Planned,plan,expected,
845,speak,22,speaking,spoke,speaks,spoken,talk,converse,speak_candidly,discuss,testify,
846,correction,6,downward_correction,corrective,retracements,countertrend_rally,pullback,cyclical_bull,selloff,upmove,countertrend,
847,catch,16,catching,caught,catches,Catching,nab,Catch,snare,catchable,grab,
848,air,6,sulfurous_smell_wafted,papal_pep_rally,Warm_moist,unsuspecting_Moraes,Jason_Sehorn_grasping,Air,OTA_synchronization,traffic_controllers_ATCs,cooled_heat_exchangers,
849,voice,6,voices,noticeably_hoarse,Voice,raspy_whisper,thin_reedy,Streisand_fretted,genial_manner,sounded_tinny,quavered,
850,timelapse,6,Timelapse,timelapse_video,giga_pixel,QTVR,Gigapixel,flythrough,photosynth,Time_Lapse,####fps,
851,suggest,16,indicate,suggesting,suggests,suggested,indicated,imply,presume,surmise,indicates,
852,social,6,Social,societal,Carmeta_Albarus_Lindo,socio,media_optimization_SMO,cultural,fetid_stench_overwhelms,social_networking,owns_http://www.mywallst.net_financial,
853,rain,6,heavy_rain,downpour,rains,torrential_rain,Rain,downpours,rain_showers,wet_weather,rainfall,
854,kept,56,keep,keeping,keeps,stayed,Kept,Keeping,remained,Keep,kep,
855,previous,49,pervious,earlier,last,prior,preceding,recent,subsequent,past,Previous,
856,photographed,68,photograph,photographing,photographs,petting_Sabi,Photographed,Photographs,Annie_Liebowitz,Francesco_Scavullo,pictures,
857,normal,7,Steven_Groeninger_spokesman,hand_Cendales,normality,normalized,abnormal,usual,manager_Brandy_Kingsolver,features_Rozsos,normally,
858,afternoon,110,morning,evening,night,midday,Friday,afteroon,Monday,afternon,Thursday,
859,sunlight,46,sun_rays,sun,sunrays,suns_rays,UV_light,UV_rays,rays,ultraviolet_rays,sun_UV_rays,
860,hear,26,heard,hears,listen,listened,tell,Hear,listening,see,spoons_clanking,
861,true,7,truest,truer,truth,sounds_trite,Liyer_wish,genuine,C'est_Vrai_means,Sounds_TOO,LiquidViagra,
